subegion,urbPop,Aridity,Rainfall
Australia and New Zeland,23106738,1535.439348,1034.32485
Caribbean,30084760,1820.80272,1388.803262
Central America,131246470,1840.000998,1010.816662
Central Asia,24517602,1582.578139,332.5501342
Eastern Africa,95883118,1864.508651,914.1756762
Eastern Asia,1677576814,1290.613017,1112.191457
Eastern Europe,155705911,908.4977145,578.2968881
Melanesia and Polynesia,2015545,1517.469774,2119.083308
Middle Africa,79719907,1459.73517,1415.854879
Northern Africa,107614119,2198.07675,229.8465409
Northern America,326850405,1498.643507,927.3236258
Northern Europe,68000833,791.9985504,737.6908511
South America,323200778,1464.367833,1287.418292
Southeastern Asia,334012546,1591.112555,2124.000482
Southern Africa,30606356,1838.285155,680.3949305
Southern Asia,538002437,1984.136094,1053.988204
Southern Europe,82960993,1345.78323,689.0213162
West Africa,129804768,1796.128356,1355.949371
Western Asia,196925780,2026.910552,428.2708855
Western Europe,82133572,923.3351332,752.247618
